Cause Name,Discovery Calendar Year,Discovery Date (Years),Fire Size Class,Statiscal Fire Cause,Fire Number,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Month,Total Acres Burned,Fire Name
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,1,44.1281,-103.725,1,3,TELEGRAPH GULCH
Arson,"2,002","2,002",0.5 - 10 acres,7,1,33.3667,-79.8667,1,6,FIRST DAY
Campfire,"2,002","2,002",10 - 100 acres,4,1,29.1339,-81.5233,1,17,SELLERS LAKE
Arson,"2,002","2,002",10 - 100 acres,7,1,31.465,-92.3817,1,18,001 DOG HUNTER
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,1,34.7,-83.7833,1,9,DUKES CREEK
Miscellaneous,"2,002","2,002",0.5 - 10 acres,9,1,31.4,-94.2736,1,1,NEW YEAR
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,1,35.2689,-83.7519,1,2,CITRUS
Miscellaneous,"2,002","2,002",10 - 100 acres,9,2,33.2833,-79.75,1,50,SAVANNAH CREEK
Arson,"2,002","2,002","300 - 1,000 acres",7,2,31.0211,-92.8931,1,305,002 COOTERS BOG
Equipment Use,"2,002","2,002",< 0.25 acres,2,1,46.3481,-91.355,1,0,PIGEON
Campfire,"2,002","2,002",100 - 300 acres,4,3,31.0378,-92.5697,1,170,003 BUDDY'S
Campfire,"2,002","2,002",< 0.25 acres,4,105,31.4533,-110.6747,1,0,CORRAL
Campfire,"2,002","2,002",< 0.25 acres,4,106,31.5197,-110.7058,1,0,RED
Miscellaneous,"2,002","2,002",< 0.25 acres,9,1,35.99,-92.3583,1,0,STONE
Smoking,"2,002","2,002",0.5 - 10 acres,3,2,31.5683,-95.1639,1,1,OVERLOOK
Debris Burning,"2,002","2,002",0.5 - 10 acres,5,1,34.6986,-119.3253,1,2,HIGH
Debris Burning,"2,002","2,002",10 - 100 acres,5,1,37.5331,-91.2225,1,27,CROSSVILLE
Arson,"2,002","2,002",0.5 - 10 acres,7,4,34.8042,-84.1839,1,0,WEST SKENNAH
Arson,"2,002","2,002",0.5 - 10 acres,7,5,34.8739,-84.1872,1,3,STAR CREEK
Arson,"2,002","2,002",0.5 - 10 acres,7,2,34.865,-84.1281,1,6,CHICKEN HOUSE
Arson,"2,002","2,002",0.5 - 10 acres,7,3,34.7625,-84.0753,1,8,MULKY CAMPGROUND
Arson,"2,002","2,002",0.5 - 10 acres,7,1,38.5467,-79.0044,1,1,FROST
Arson,"2,002","2,002",0.5 - 10 acres,7,2,38.5233,-79.0583,1,1,233 WEST
